Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,54.099998,55.400002,53.299999,54.099998,54.099998,29460
2019-05-15,55.900002,55.900002,51.799999,52.000000,52.000000,24940
2019-05-16,52.000000,52.000000,49.299999,49.599998,49.599998,26370
2019-05-17,51.500000,51.599998,49.000000,50.299999,50.299999,39140
2019-05-21,49.099998,49.299999,48.200001,48.599998,48.599998,11650
2019-05-22,48.400002,48.799999,47.500000,48.000000,48.000000,23660
2019-05-23,49.799999,52.000000,49.799999,51.099998,51.099998,30740
2019-05-24,49.900002,50.700001,49.099998,50.099998,50.099998,13760
2019-05-27,49.900002,50.299999,49.900002,50.299999,50.299999,1610
2019-05-28,49.200001,51.599998,49.099998,51.599998,51.599998,25110
2019-05-29,52.599998,53.500000,51.799999,52.500000,52.500000,35700
2019-05-30,51.200001,52.700001,51.000000,51.700001,51.700001,15210
2019-05-31,53.900002,54.099998,50.500000,53.900002,53.900002,42130
2019-06-03,53.900002,55.299999,52.599998,54.200001,54.200001,26720
2019-06-04,52.200001,53.299999,51.200001,51.299999,51.299999,19030
2019-06-05,51.000000,51.799999,50.000000,50.200001,50.200001,33380
2019-06-06,49.500000,50.299999,49.000000,49.299999,49.299999,27780
2019-06-07,49.299999,49.700001,48.700001,49.599998,49.599998,8710
2019-06-10,48.799999,49.700001,48.700001,49.099998,49.099998,25860
2019-06-11,48.500000,50.000000,48.200001,49.200001,49.200001,11080
2019-06-12,50.500000,50.500000,48.900002,49.000000,49.000000,11450
2019-06-13,48.700001,49.200001,48.299999,49.000000,49.000000,6640
2019-06-14,49.099998,49.400002,48.200001,48.200001,48.200001,7280
2019-06-17,48.200001,48.200001,47.400002,47.799999,47.799999,5640
2019-06-18,46.900002,47.500000,46.500000,47.400002,47.400002,10630
2019-06-19,46.799999,47.299999,45.599998,45.599998,45.599998,15920
2019-06-20,44.500000,47.200001,44.500000,45.799999,45.799999,16490
2019-06-21,46.500000,47.200001,45.700001,47.200001,47.200001,6050
2019-06-24,46.500000,46.799999,46.200001,46.599998,46.599998,6890
2019-06-25,46.799999,48.000000,46.599998,47.599998,47.599998,18170
2019-06-26,46.799999,47.599998,46.500000,47.000000,47.000000,4410
2019-06-27,47.000000,47.200001,46.299999,46.400002,46.400002,3350
2019-06-28,46.000000,46.299999,45.500000,45.500000,45.500000,7970
2019-07-02,43.700001,43.700001,41.700001,41.900002,41.900002,26980
2019-07-03,41.799999,43.299999,41.299999,43.099998,43.099998,10450
2019-07-04,42.599998,43.000000,42.200001,42.500000,42.500000,1910
2019-07-05,43.000000,43.500000,41.500000,41.700001,41.700001,15130
2019-07-08,42.700001,43.000000,42.099998,42.500000,42.500000,8250
2019-07-09,43.599998,43.900002,42.700001,42.799999,42.799999,5040
2019-07-10,42.400002,42.400002,41.500000,41.599998,41.599998,7110
2019-07-11,41.099998,41.599998,40.500000,41.000000,41.000000,9140
2019-07-12,40.500000,40.799999,40.099998,40.099998,40.099998,5850
2019-07-15,40.099998,40.500000,39.900002,40.200001,40.200001,6850
2019-07-16,40.000000,40.400002,39.400002,40.099998,40.099998,9240
2019-07-17,40.299999,41.000000,39.599998,41.000000,41.000000,4760
2019-07-18,41.599998,41.799999,40.099998,40.799999,40.799999,12440
2019-07-19,40.500000,41.200001,39.799999,41.200001,41.200001,9900
2019-07-22,41.700001,41.700001,40.200001,40.400002,40.400002,4990
2019-07-23,40.700001,40.700001,38.900002,38.900002,38.900002,8970
2019-07-24,39.700001,39.700001,37.799999,37.900002,37.900002,9920
2019-07-25,37.700001,39.700001,37.700001,39.200001,39.200001,14090
2019-07-26,39.099998,39.099998,37.900002,38.200001,38.200001,11540
2019-07-29,38.400002,38.799999,38.000000,38.299999,38.299999,6520
2019-07-30,39.200001,39.500000,38.700001,39.500000,39.500000,7520
2019-07-31,39.700001,42.500000,38.799999,41.500000,41.500000,56060
2019-08-01,41.599998,46.000000,39.900002,44.799999,44.799999,38130
2019-08-02,44.200001,46.900002,44.200001,45.200001,45.200001,29250
2019-08-06,47.500000,52.200001,45.500000,48.500000,48.500000,81990
2019-08-07,51.200001,52.900002,48.500000,48.599998,48.599998,32510
2019-08-08,47.299999,48.200001,45.700001,45.900002,45.900002,19430
2019-08-09,46.500000,48.400002,46.099998,47.500000,47.500000,19810
2019-08-12,47.900002,51.099998,47.900002,50.900002,50.900002,25420
2019-08-13,51.799999,51.799999,47.099998,47.099998,47.099998,28300
2019-08-14,51.200001,53.799999,49.000000,53.799999,53.799999,54660
2019-08-15,51.799999,54.599998,51.799999,52.500000,52.500000,19000
2019-08-16,51.299999,51.299999,49.500000,49.500000,49.500000,19460
2019-08-19,47.700001,47.700001,45.799999,45.900002,45.900002,14490
2019-08-20,46.900002,47.200001,45.900002,47.000000,47.000000,9240
2019-08-21,45.500000,45.500000,44.599998,44.700001,44.700001,12430
2019-08-22,44.599998,46.599998,44.299999,45.099998,45.099998,16060
2019-08-23,47.000000,51.900002,45.000000,51.000000,51.000000,39660
2019-08-26,47.799999,51.099998,47.799999,49.700001,49.700001,14780
2019-08-27,49.099998,51.799999,48.599998,50.700001,50.700001,14490
2019-08-28,51.900002,52.299999,49.400002,49.400002,49.400002,15940
2019-08-29,48.200001,48.299999,46.900002,47.500000,47.500000,20200
2019-08-30,46.500000,48.700001,46.500000,47.500000,47.500000,18940
2019-09-03,48.799999,50.099998,48.599998,49.900002,49.900002,15400
2019-09-04,48.799999,48.799999,46.799999,46.799999,46.799999,15340
2019-09-05,45.400002,45.599998,44.400002,44.900002,44.900002,19600
2019-09-06,44.200001,44.700001,43.500000,43.700001,43.700001,17690
2019-09-09,43.099998,44.299999,42.799999,43.299999,43.299999,15780
2019-09-10,44.000000,44.400002,43.099998,43.200001,43.200001,9460
2019-09-11,43.200001,43.200001,42.200001,42.400002,42.400002,12660
2019-09-12,41.900002,42.099998,40.900002,41.200001,41.200001,17810
2019-09-13,41.000000,41.099998,40.299999,40.700001,40.700001,22410
2019-09-16,42.000000,42.000000,40.599998,41.400002,41.400002,18600
2019-09-17,41.400002,41.700001,41.099998,41.099998,41.099998,7560
2019-09-18,41.099998,41.700001,39.700001,39.799999,39.799999,21080
2019-09-19,39.500000,39.500000,38.500000,39.000000,39.000000,11600
2019-09-20,39.000000,41.400002,38.500000,41.099998,41.099998,22960
2019-09-23,41.400002,41.400002,40.000000,40.700001,40.700001,11370
2019-09-24,39.900002,42.900002,39.500000,42.700001,42.700001,33920
2019-09-25,42.900002,44.099998,41.299999,41.700001,41.700001,16390
2019-09-26,41.299999,42.700001,41.299999,41.900002,41.900002,15950
2019-09-27,41.400002,44.200001,41.299999,43.099998,43.099998,25930
